ingredients,url
"vanilla extract,cocoa powder,vegan butter,powdered sugar,maple syrup,sugar,almond milk,baking powder,all-purpose flour,salt,coconut oil",https://tasty.co/recipe/vegan-chocolate-cake
"granola,greek yogurt,oil,ripe peaches,mint leaf,honey",https://tasty.co/recipe/grilled-peach-parfaits
"almond flour,vanilla extract,raw cashew,maple syrup,canned coconut milk,strawberry,lemon juice,raw pe,pitted dates,salt,coconut oil,cinnamon",https://tasty.co/recipe/dairy-free-strawberry-cheesecake
"vanilla extract,chickpea,sugar,strawberry,lemon juice,dark vegan chocolate",https://tasty.co/recipe/dairy-free-meringue
"water,salmon,hickory wood chip,old bay seasoning",https://tasty.co/recipe/smoked-salmon-fillet
"white chocolate,purple food coloring,light blue food coloring,condensed milk,gelatin,sugar,water,yellow cake mix,navy food coloring,vanilla frosting",https://tasty.co/recipe/galaxy-box-cake-pop
"scallion,pepper,chickpea,vegetable broth,potato,ghee,canola oil,cloves garlic,medium white onion,curry powder,parsley",https://tasty.co/recipe/chickpea-and-potato-curry
"eggs,black pepper,smoked ham,spinach,mozzarella cheese,whole milk,salt,bacon",https://tasty.co/recipe/epic-egg-breakfast-roll
"allspice,ginger,medium red onions,cashew,ground cardamom,water,basmati rice,pepper,ground fenugreek,black pepper,vegetable oil,beef broth,carrot,cayenne,green cabbage,cinnamon stick,star anise,curry powder,salt,ground nutmeg,scallions,ground cinnamon,cloves garlic,lamb shoulder,bay leaf,ground clove,ground cumin,paprika,tomato paste,pomegranate seed,ghee",https://tasty.co/recipe/wakandan-jeweled-vegetable-pilau-with-berbere-braised-lamb
"spaghetti,red pepper flake,red wine,parmesan cheese,butter,water,cloves garlic,pine nut,salt",https://tasty.co/recipe/red-wine-pasta
"orange juice,chili flake,sesame oil,ginger,cornstarch,soy sauce,sugar,garlic,egg,flour,oil,white pepper,water,chicken thigh,salt,white distilled vinegar,brown sugar",https://tasty.co/recipe/original-orange-chicken-by-panda-express
"eggs,whole wheat flour,powdered sugar,maple syrup,baking soda,whole greek yogurt,milk,oil,baking powder",https://tasty.co/recipe/whole-wheat-waffle-sticks
"vanilla extract,granny smith apples,ground nutmeg,ground clove,powdered sugar,cornstarch,milk,dark brown sugar,unsalted butter,lemon juice,biscuit dough,cinnamon",https://tasty.co/recipe/apple-fritter-stuffed-pull-apart-bread
"mozzarella cheese,butter,cheddar cheese,cloves garlic,deli ham,salt,pizza dough,parsley",https://tasty.co/recipe/ham-and-garlic-pull-apart-garlic-bread
"white chocolate,vanilla extract,mini marshmallow,cream cheese,graham crackers,powdered sugar,butter,milk chocolate,coconut oil",https://tasty.co/recipe/smores-cheesecake-pops
"medium onion,pepper,stalks celery,cannellini bean,dried oregano,tomato,cloves garlic,vegetable stock,carrots,kale,salt,dried thyme",https://tasty.co/recipe/slow-cooker-tuscan-white-bean-soup
"ghee,baking soda,flour,oil,water,salt",https://tasty.co/recipe/trinidadian-roti
"avocado,eggs,domini frying cheese,plantains,butter,flour,canola oil,vinegar,water,salt,domini salami,red onion",https://tasty.co/recipe/mangu-con-los-tres-golpes
"vanilla extract,eggs,powdered sugar,whole wheat bread,maple syrup,milk,ground cinnamon,salt",https://tasty.co/recipe/whole-wheat-french-toast
"pistachio,almond flour,cilantro,pepper,basil,olive oil,bell pepper,spinach,cashew,sweet potatoes,rosemary,cherry tomato,water,ground flaxseed,cloves garlic,arugula,lemon juice,salt,red onion",https://tasty.co/recipe/haile-thomas-s-perfect-pesto-pizza-with-sweet-potato-crust
"yellow bell pepper,chicken stock,scallion,black pepper,vegetable oil,pinch cayenne pepper,andouille sausage,heavy cream,white corn grit,unsalted butter,whole milk,cheddar cheese,medium red bell pepper,cloves garlic,raw shrimp,medium white onion,salt",https://tasty.co/recipe/uncle-poohs-shrimp-sausage-and-grits
"cooked chicken,onion,egg noodle,carrot,butter,leaves dried bay leaf,celery,cloves garlic,salt,chicken broth,pepper",https://tasty.co/recipe/chicken-noodle-soup
"dark cocoa powder,vanilla extract,pinch salt,powdered sugar,whole wheat flour,berry,maple syrup,sugar,baking soda,dairy-free chocolate chunk,full-fat coconut milk,almond milk,baking powder,applesauce,apple cider vinegar,coconut oil",https://tasty.co/recipe/fudgiest-dairy-free-chocolate-cake
"scallion,cilantro,chicken,thyme,medium white onion,parsley,oil,cloves garlic,coconut milk,salt,curry powder,chicken broth,pepper",https://tasty.co/recipe/coconut-chicken-curry
"cold water,onion,tomato paste,bell pepper,dried parsley,shortening,sugar,flour,stalk celery,baking powder,dried oregano,cloves garlic,dried thyme,oil,salt,scotch bonnet pepper,lean ground beef,pepper",https://tasty.co/recipe/virgin-islands-pates
"leaves butter lettuce,turkey bacon,eggs,hawaiian roll,medium tomatoes,cheddar cheese",https://tasty.co/recipe/turkey-bacon-breakfast-sliders
"fruit,vanilla extract,mayonnaise,stout,dark chocolate,eggs,Dutch processed cocoa powder,powdered sugar,baking soda,butter,dutch processed cocoa powder,sugar,flour,milk,baking powder,espresso powder,salt",https://tasty.co/recipe/the-ultimate-chocolate-cake
"eggs,strawberries,powdered sugar,vanilla,sugar,heavy cream,milk,flour,oil,unsalted butter,ripe bananas,salt",https://tasty.co/recipe/strawberry-banana-crepe-cake
"water,piece ginger,lemon,honey",https://tasty.co/recipe/soothing-lemon-ginger-tea
"flaky biscuit dough,italian seasoning,mozzarella cheese,butter,parsley,cheddar cheese,cloves garlic,bacon",https://tasty.co/recipe/cheesy-bacon-monkey-bread
"butter,thyme,cloves garlic,parmesan cheese,salt,farfalle pasta,pepper",https://tasty.co/recipe/toasted-farfalle-with-thyme-sauce
"habanero peppers,scallion,flank steak,cubes beef bouillon,cloves garlic,black pepper,plum tomatoes,vegetable oil,tomato paste,paprika,white rice,rosemary,parsley,fried plantain,bay leaf,water,red bell peppers,curry powder,salt,red onion",https://tasty.co/recipe/nigerian-beef-stew
"almond,vanilla extract,lime zest,walnut,pinch salt,raw cashew,maple syrup,blueberry,pitted date,splash water,coconut oil,lime juice",https://tasty.co/recipe/dairy-free-blueberry-lime-cheesecake
"cucumber,apple,orange juice,spinach,leafy green",https://tasty.co/recipe/green-vitamin-juice
"oaxaca cheese,pepper,onion,ground chorizo,bread boule,butter,mushroom,cloves garlic,parmesan cheese,salt,parsley",https://tasty.co/recipe/queso-fundido-pull-apart-bread
"jalapeño,clove garlic,cilantro,lime wedge,ground coriander,olive oil,frozen pea,cumin,all-purpose flour,medium red onion,flour,scallions,canola oil,water,ground beef,salt,pepper",https://tasty.co/recipe/kenyan-beef-samosas
"pepper,onion,butternut squash,vegetable broth,potato,carrot,butter,thyme,stalk celery,water,cloves garlic,salt,bay leaf",https://tasty.co/recipe/butternut-squash-soup
"qt water,salt cod fish,yellow bell pepper,scallion,lime,cilantro,avocado,olive oil,lemons,parsley,orange bell pepper,tomato,cloves garlic,medium white onion,pepper",https://tasty.co/recipe/saltfish-buljol
"onion,black pepper,olive oil,red bell peppers,frozen pea,red potato,parsley,jalepeno,water,green bean,jasmine rice,carrots,curry powder,salt,chicken breast cut into inch cm cubes",https://tasty.co/recipe/nigerian-chicken-curry
"coconut cream,cashew,vegan chocolate sandwich cookies,vegan chocolate sandwich cookie,lemon juice,coconut oil",https://tasty.co/recipe/vegan-cookies-and-cream-cheesecake
"pre-made biscuit,brown sugar,cornstarch,cinnamon,blueberry",https://tasty.co/recipe/slow-cooker-blueberry-cobbler
"chocolate bar,sprinkle,brigadeiroes,condensed milk,carrot cake",https://tasty.co/recipe/carrot-cake-cake-pops
"lime,graham cracker,pinch salt,chocolate,sugar,butter,yolks egg,condensed milk",https://tasty.co/recipe/key-lime-pie-pop
